columns Id,Top-Left,Bottom-Right,Top,Left,Bottom,Right,Top_box,Bottom_box,Left_box,Right_box
103,"[1358, 2615]","[1528, 2690]","[1443.0, 2615]","[1358, 2652.5]","[1443.0, 2690]","[1528, 2652.5]","[-1, 0]","[-1, 0]","[19.1, 102]","[-1, 0]"
104,"[1955, 2628]","[2025, 2683]","[1990.0, 2628]","[1955, 2655.5]","[1990.0, 2683]","[2025, 2655.5]","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
105,"[566, 2789]","[696, 2854]","[631.0, 2789]","[566, 2821.5]","[631.0, 2854]","[696, 2821.5]","[-1, 0]","[-1, 0]","[-1, 0]","[41.15, 106]"
106,"[737, 2782]","[1143, 2854]","[940.0, 2782]","[737, 2818.0]","[940.0, 2854]","[1143, 2818.0]","[-1, 0]","[-1, 0]","[41.15, 105]","[-1, 0]"
107,"[1187, 2786]","[1433, 2837]","[1310.0, 2786]","[1187, 2811.5]","[1310.0, 2837]","[1433, 2811.5]","[-1, 0]","[-1, 0]","[-1, 0]","[21.05, 108]"
108,"[1412, 2782]","[1607, 2844]","[1509.5, 2782]","[1412, 2813.0]","[1509.5, 2844]","[1607, 2813.0]","[-1, 0]","[-1, 0]","[21.05, 107]","[46.02, 109]"
109,"[1653, 2779]","[1786, 2844]","[1719.5, 2779]","[1653, 2811.5]","[1719.5, 2844]","[1786, 2811.5]","[-1, 0]","[-1, 0]","[46.02, 108]","[44.0, 110]"
110,"[1830, 2786]","[2054, 2837]","[1942.0, 2786]","[1830, 2811.5]","[1942.0, 2837]","[2054, 2811.5]","[-1, 0]","[-1, 0]","[44.0, 109]","[-1, 0]"
111,"[358, 2888]","[621, 2960]","[489.5, 2888]","[358, 2924.0]","[489.5, 2960]","[621, 2924.0]","[-1, 0]","[-1, 0]","[-1, 0]","[32.47, 112]"
112,"[653, 2892]","[1073, 2967]","[863.0, 2892]","[653, 2929.5]","[863.0, 2967]","[1073, 2929.5]","[-1, 0]","[-1, 0]","[32.47, 111]","[-1, 0]"
113,"[1105, 2878]","[1329, 2953]","[1217.0, 2878]","[1105, 2915.5]","[1217.0, 2953]","[1329, 2915.5]","[-1, 0]","[39.29, 120]","[-1, 0]","[27.07, 114]"
114,"[1356, 2875]","[1832, 2960]","[1594.0, 2875]","[1356, 2917.5]","[1594.0, 2960]","[1832, 2917.5]","[-1, 0]","[-1, 0]","[27.07, 113]","[30.08, 115]"
115,"[1861, 2888]","[2054, 2963]","[1957.5, 2888]","[1861, 2925.5]","[1957.5, 2963]","[2054, 2925.5]","[-1, 0]","[30.08, 123]","[30.08, 114]","[-1, 0]"
116,"[358, 2998]","[471, 3052]","[414.5, 2998]","[358, 3025.0]","[414.5, 3052]","[471, 3025.0]","[-1, 0]","[-1, 0]","[-1, 0]","[26.61, 117]"
117,"[495, 3004]","[701, 3069]","[598.0, 3004]","[495, 3036.5]","[598.0, 3069]","[701, 3036.5]","[-1, 0]","[-1, 0]","[26.61, 116]","[20.08, 118]"
118,"[720, 3008]","[769, 3052]","[744.5, 3008]","[720, 3030.0]","[744.5, 3052]","[769, 3030.0]","[44.0, 118]","[44.0, 118]","[20.08, 117]","[20.81, 119]"
119,"[786, 2987]","[1117, 3049]","[951.5, 2987]","[786, 3018.0]","[951.5, 3049]","[1117, 3018.0]","[-1, 0]","[43.01, 125]","[20.81, 118]","[-1, 0]"
120,"[1138, 2991]","[1276, 3056]","[1207.0, 2991]","[1138, 3023.5]","[1207.0, 3056]","[1276, 3023.5]","[39.29, 113]","[49.58, 126]","[-1, 0]","[17.26, 121]"
121,"[1293, 2984]","[1511, 3069]","[1402.0, 2984]","[1293, 3026.5]","[1402.0, 3069]","[1511, 3026.5]","[-1, 0]","[36.62, 127]","[17.26, 120]","[19.65, 122]"
122,"[1530, 2991]","[1815, 3052]","[1672.5, 2991]","[1530, 3021.5]","[1672.5, 3052]","[1815, 3021.5]","[-1, 0]","[-1, 0]","[19.65, 121]","[25.0, 123]"
123,"[1839, 2991]","[2054, 3066]","[1946.5, 2991]","[1839, 3028.5]","[1946.5, 3066]","[2054, 3028.5]","[30.08, 115]","[-1, 0]","[25.0, 122]","[-1, 0]"
124,"[355, 3104]","[706, 3179]","[530.5, 3104]","[355, 3141.5]","[530.5, 3179]","[706, 3141.5]","[-1, 0]","[-1, 0]","[-1, 0]","[26.91, 125]"
125,"[728, 3090]","[1201, 3162]","[964.5, 3090]","[728, 3126.0]","[964.5, 3162]","[1201, 3126.0]","[43.01, 119]","[-1, 0]","[26.91, 124]","[-1, 0]"
126,"[1221, 3093]","[1259, 3148]","[1240.0, 3093]","[1221, 3120.5]","[1240.0, 3148]","[1259, 3120.5]","[49.58, 120]","[-1, 0]","[38.0, 126]","[20.1, 127]"
127,"[1279, 3090]","[1465, 3155]","[1372.0, 3090]","[1279, 3122.5]","[1372.0, 3155]","[1465, 3122.5]","[36.62, 121]","[-1, 0]","[20.1, 126]","[24.52, 128]"
128,"[1489, 3097]","[1723, 3158]","[1606.0, 3097]","[1489, 3127.5]","[1606.0, 3158]","[1723, 3127.5]","[-1, 0]","[-1, 0]","[24.52, 127]","[-1, 0]"
